observation_date,DDDM01USA156NWDB
1975-01-01,41.77090000000000
1976-01-01,47.13860000000000
1977-01-01,40.07240000000000
1978-01-01,36.65430000000000
1979-01-01,37.81750000000000
1980-01-01,47.59020000000000
1981-01-01,39.39960000000000
1982-01-01,43.56930000000000
1983-01-01,49.78030000000000
1984-01-01,39.68090000000000
1985-01-01,53.02760000000000
1986-01-01,55.41800000000000
1987-01-01,52.14530000000000
1988-01-01,53.08840000000000
1989-01-01,59.95190000000000
1990-01-01,51.87610000000000
1991-01-01,67.54640000000001
1992-01-01,69.71800000000000
1993-01-01,76.56240000000000
1994-01-01,70.50330000000000
1995-01-01,90.99809999999999
1996-01-01,105.04600000000001
1997-01-01,125.56200000000000
1998-01-01,142.58900000000000
1999-01-01,153.43299999999999
2000-01-01,147.37899999999999
2001-01-01,132.14700000000002
2002-01-01,101.14700000000001
2003-01-01,124.52600000000000
2004-01-01,133.61300000000000
2005-01-01,130.38299999999998
2006-01-01,141.64400000000001
2007-01-01,137.63999999999999
2008-01-01,78.47250000000000
2009-01-01,104.13900000000000
2010-01-01,114.84800000000000
2011-01-01,100.26300000000001
2012-01-01,114.85400000000000
2013-01-01,142.69799999999998
2014-01-01,150.02600000000001
2015-01-01,137.68799999999999
2016-01-01,146.30700000000002
2017-01-01,164.89400000000001
2018-01-01,148.27300000000000
2019-01-01,158.57200000000000
2020-01-01,194.88900000000001
