Date,Total_Return
1971-01-04,91.16211127977739
1971-01-05,91.82431052449736
1971-01-06,92.38665091802207
1971-01-07,92.42893565265261
1971-01-08,92.25111985767118
1971-01-11,92.05323759740357
1971-01-12,92.8060543990852
1971-01-13,92.65823200719106
1971-01-14,92.91080234973901
1971-01-15,93.15341636798388
1971-01-18,93.54630129960823
1971-01-19,93.90923858296509
1971-01-20,93.94174338735723
1971-01-21,94.3649348439838
1971-01-22,95.06874800894508
1971-01-25,95.48217566289914
1971-01-26,95.80551631851178
1971-01-27,95.11666940019042
1971-01-28,95.45007024587545
1971-01-29,96.134438849706
1971-02-01,96.68812936705146
1971-02-02,96.7104864842561
1971-02-03,96.92339518087704
1971-02-04,96.92572748905923
1971-02-05,97.24906339978331
1971-02-08,97.7831703905012
1971-02-09,97.8558475088776
1971-02-10,97.74789518391304
1971-02-11,98.28227268583657
1971-02-12,98.81677684704842
1971-02-16,99.0602825488537
1971-02-17,98.61103911854165
1971-02-18,97.98093316747403
1971-02-19,97.16988746592962
1971-02-22,96.15774678742144
1971-02-23,96.54169350757266
1971-02-24,97.19701755038088
1971-02-25,97.44051574802866
1971-02-26,97.24189903630146
1971-03-01,97.5052191747276
1971-03-02,97.49720008928745
1971-03-03,97.47911437109617
1971-03-04,98.4664879761138
1971-03-05,99.52449393692476
1971-03-08,99.95921980410296
1971-03-09,100.05207369491829
1971-03-10,99.90352250867497
1971-03-11,100.00644469958705
1971-03-12,100.19995305005747
1971-03-15,101.35958052681124
1971-03-16,101.8753648330127
1971-03-17,101.79740005572658
1971-03-18,101.88048222065365
1971-03-19,101.71187750655601
1971-03-22,101.33177112675112
1971-03-23,101.00191788131308
1971-03-24,100.34968549398923
1971-03-25,100.3520442576219
1971-03-26,100.70700784903056
1971-03-29,100.8000940429855
1971-03-30,101.04435808517673
1971-03-31,101.10726487051785
1971-04-01,101.2000040732317
1971-04-02,101.3834865002008
1971-04-05,101.62750793704559
1971-04-06,102.36565573655197
1971-04-07,102.85187084794497
1971-04-08,102.985202176974
1971-04-12,103.78428980500588
1971-04-13,103.89759686727146
1971-04-14,104.30350679812989
1971-04-15,104.46733931742047
1971-04-16,104.44956969144988
1971-04-19,104.98689706102134
1971-04-20,104.5957044609449
1971-04-21,104.35584510674977
1971-04-22,104.57025930572897
1971-04-23,105.07756096288776
1971-04-26,104.97905074724619
1971-04-27,105.64810731106803
1971-04-28,105.84257364169927
1971-04-29,105.71380929890181
1971-04-30,105.03941806715375
1971-05-03,104.38523680522981
1971-05-04,104.90319095345237
1971-05-05,104.90579671722932
1971-05-06,104.3625504770462
1971-05-07,104.01124990917374
1971-05-10,103.50819683879286
1971-05-11,103.78366157180695
1971-05-12,104.07941487568036
1971-05-13,103.87962416390113
1971-05-14,103.40665127600755
1971-05-17,101.88139262991602
1971-05-18,102.03539743741958
1971-05-19,102.29063198676317
1971-05-20,102.5459268404318
1971-05-21,102.23445277188144
1971-05-24,101.37624645858317
1971-05-25,100.7203235899191
1971-05-26,100.85403520414907
1971-05-27,100.67385328083112
1971-05-28,100.91899904244254
1971-06-01,101.50882282708884
1971-06-02,102.29127447254362
1971-06-03,102.35455565590603
1971-06-04,102.6610433900253
1971-06-07,102.46087947908613
1971-06-08,101.69308060430286
1971-06-09,101.67521622045227
1971-06-10,102.04259169302767
1971-06-11,102.49117290071855
1971-06-14,101.64186580582646
1971-06-15,101.75582167276796
1971-06-16,101.97123379022625
1971-06-17,101.96352775205867
1971-06-18,100.42382677055762
1971-06-21,99.32005821758656
1971-06-22,99.04815544526048
1971-06-23,99.89263376934264
1971-06-24,99.62073171042519
1971-06-25,99.49089487203882
1971-06-28,99.24933898691971
1971-06-29,100.35826217503495
1971-06-30,100.24877175296916
1971-07-01,101.3581640699951
1971-07-02,101.37074515007892
1971-07-06,101.36301235149097
1971-07-07,101.6600920197
1971-07-08,101.97756425475161
1971-07-09,102.34594048788786
1971-07-12,102.49077935138065
1971-07-13,101.1616264103345
1971-07-14,100.8895084026568
1971-07-15,100.96303840739232
1971-07-16,100.80269038739989
1971-07-19,100.6321280069586
1971-07-20,101.0413284430219
1971-07-21,101.0131760189241
1971-07-22,100.8527483711108
1971-07-23,100.69227930400397
1971-07-26,99.89060622575803
1971-07-27,99.53658289710519
1971-07-28,98.82618389912463
1971-07-29,97.76945105764189
1971-07-30,97.33357530843107
1971-08-02,97.73283117254338
1971-08-03,96.26838329902937
1971-08-04,95.64899772000096
1971-08-05,95.86481582386571
1971-08-06,96.03993915714014
1971-08-09,95.31838773651731
1971-08-10,95.34061366756971
1971-08-11,96.49421143016487
1971-08-12,97.87235358060855
1971-08-13,97.56866487224215
1971-08-16,100.71125385723444
1971-08-17,101.97826455131593
1971-08-18,100.57349875751008
1971-08-19,100.13739327843525
1971-08-20,100.32345685719783
1971-08-23,101.27477061109663
1971-08-24,102.46101743573126
1971-08-25,102.48415909194841
1971-08-26,102.32357862452429
1971-08-27,102.5814896991509
1971-08-30,101.61435435406666
1971-08-31,101.12687200215636
1971-09-01,101.18019483224327
1971-09-02,101.41736359632694
1971-09-03,102.85987196923185
1971-09-07,103.3424727456716
1971-09-08,103.54933402469742
1971-09-09,103.01034197807498
1971-09-10,102.63471163521014
1971-09-13,102.28965505380293
1971-09-14,101.55607784304972
1971-09-15,102.00819849290575
1971-09-16,101.90832162163738
1971-09-17,102.22765623475807
1971-09-20,101.95391622446326
1971-09-21,101.61873298677737
1971-09-22,100.74131686353576
1971-09-23,100.66166422725445
1971-09-24,100.43875189243872
1971-09-27,99.90878416737635
1971-09-28,100.18719912767838
1971-09-29,100.22003394867312
1971-09-30,100.68281881308613
1971-10-01,101.29954098329783
1971-10-04,101.59898589302234
1971-10-05,101.5093567910081
1971-10-06,102.24931033239564
1971-10-07,102.46703372086667
1971-10-08,101.80377708276565
1971-10-11,101.66288934383668
1971-10-12,102.04457607212115
1971-10-13,101.50398809757704
1971-10-14,100.59426793296062
1971-10-15,100.25838449203887
1971-10-18,99.8198843993599
1971-10-19,99.47355964640194
1971-10-20,98.10164542755403
1971-10-21,98.06269823842887
1971-10-22,98.044259289825
1971-10-25,97.57442026615041
1971-10-26,97.21732394931419
1971-10-27,96.25471212946792
1971-10-28,96.44128292323258
1971-10-29,96.73054613426447
1971-11-01,95.27532736417315
1971-11-02,95.67799794069948
1971-11-03,97.46697010918503
1971-11-04,97.35656014438166
1971-11-05,97.03043433795686
1971-11-08,96.97129814563706
1971-11-09,97.05597267839092
1971-11-10,95.98989270339843
1971-11-11,94.67689467888454
1971-11-12,94.68935330098563
1971-11-15,94.3831619136428
1971-11-16,95.32080780625624
1971-11-17,95.47729307763592
1971-11-18,94.74948256401395
1971-11-19,94.22716929512336
1971-11-22,93.39614280629995
1971-11-23,92.76035146498111
1971-11-24,92.94745905482017
1971-11-26,94.61634306880075
1971-11-29,96.14158615396829
1971-11-30,96.75119244952752
1971-12-01,98.2556799907029
1971-12-02,98.67954475480235
1971-12-03,99.94781447417377
1971-12-06,99.39373318040433
1971-12-07,99.77670067861558
1971-12-08,99.8404533420387
1971-12-09,99.89392449218435
1971-12-10,100.65828858722527
1971-12-13,100.9591604274942
1971-12-14,100.66240632245714
1971-12-15,101.57143004077349
1971-12-16,102.82082056309793
1971-12-17,103.36951803198436
1971-12-20,104.7122261369239
1971-12-21,104.98287440308862
1971-12-22,104.35638331887755
1971-12-23,103.91538737107531
1971-12-27,104.14477124856104
1971-12-28,105.18921201062116
1971-12-29,105.47039705697229
1971-12-30,105.03963667898864
1971-12-31,105.37246591108051
1972-01-03,104.95139061777861
1972-01-04,105.39732149387915
1972-01-05,106.41117692601475
1972-01-06,106.88836365587973
1972-01-07,106.85966291795647
1972-01-10,106.71734970812622
1972-01-11,107.07078816120247
1972-01-12,107.0214298494159
1972-01-13,106.41417776089611
1972-01-14,106.84002822080443
1972-01-17,107.17297013965587
1972-01-18,107.54733744402891
1972-01-19,107.38430084492747
1972-01-20,107.39696506086476
1972-01-21,107.1718482927899
1972-01-24,106.0677890386763
1972-01-25,106.21472834650548
1972-01-26,106.02041312950074
1972-01-27,107.06726199121194
1972-01-28,107.76264036357342
1972-01-31,107.54773868008526
1972-02-01,107.63262246630343
1972-02-02,108.33842060813117
1972-02-03,108.3095676964008
1972-02-04,108.54982666978314
1972-02-07,108.23113724968579
1972-02-08,108.45072931915595
1972-02-09,109.3019903785537
1972-02-10,109.3560628715202
1972-02-11,108.84054227468286
1972-02-14,108.34560488474949
1972-02-15,108.81395370786538
1972-02-16,109.43781501663997
1972-02-17,109.41939726990056
1972-02-18,109.1108282833415
1972-02-22,109.13382979560345
1972-02-23,109.23974972699858
1972-02-24,109.32496365747055
1972-02-25,110.09445264315707
1972-02-28,110.1175728550313
1972-02-29,110.52437679579049
1972-03-01,111.34582016215239
1972-03-02,111.32729969556641
1972-03-03,111.98304602190673
1972-03-06,112.85679583445598
1972-03-07,112.97332530592467
1972-03-08,113.07949265036635
1972-03-09,113.07153103004602
1972-03-10,112.50307789639128
1972-03-13,111.42586353024451
1972-03-14,111.72915144383029
1972-03-15,111.88714810114456
1972-03-16,111.6402053206803
1972-03-17,112.08900734299893
1972-03-20,111.75893636328271
1972-03-21,110.83671081318963
1972-03-22,111.00507185594816
1972-03-23,111.96310770916429
1972-03-24,111.73677580767924
1972-03-27,111.52079354668172
1972-03-28,111.39828947693988
1972-03-29,110.70406127394008
1972-03-30,111.45467906255848
1972-04-03,111.75827849066076
1972-04-04,112.43626703975227
1972-04-05,113.36398440893016
1972-04-06,113.92789609064677
1972-04-07,114.03427065713467
1972-04-10,113.87018755705483
1972-04-11,114.20546271128484
1972-04-12,114.65525929617614
1972-04-13,114.38713417254583
1972-04-14,114.32708327560015
1972-04-17,113.99640985855291
1972-04-18,114.27982021640842
1972-04-19,113.69919860801237
1972-04-20,113.54534161382958
1972-04-21,113.40185617368596
1972-04-24,112.68555267221672
1972-04-25,111.58370957418605
1972-04-26,111.35661617919703
1972-04-27,111.53577472968126
1972-04-28,112.19423869262202
1972-05-01,111.18575493293687
1972-05-02,110.56262666834972
1972-05-03,110.48132574869075
1972-05-04,110.76484263042047
1972-05-05,111.1735161899057
1972-05-08,110.67521489757779
1972-05-09,109.2279123236556
1972-05-10,109.94940474974928
1972-05-11,110.32687801125829
1972-05-12,110.97563891555464
1972-05-15,111.48893159906116
1972-05-16,111.29288236671789
1972-05-17,111.54545712781315
1972-05-18,112.65380924521392
1972-05-19,113.75197053758367
1972-05-22,114.505925852765
1972-05-23,114.61282586203306
1972-05-24,115.17912117909626
1972-05-25,115.34877237140392
1972-05-26,115.57067654878946
1972-05-30,115.25998733698444
1972-05-31,114.41653970221536
1972-06-01,114.5965880568947
1972-06-02,114.65130491208028
1972-06-05,113.71342114008301
1972-06-06,113.08881702252683
1972-06-07,112.51632765839193
1972-06-08,112.14229089807847
1972-06-09,111.71590678810249
1972-06-12,111.88532634564004
1972-06-13,112.46255025257653
1972-06-14,113.35360091271784
1972-06-15,113.41868023235392
1972-06-16,113.34779914551369
1972-06-19,113.09907745221777
1972-06-20,113.58259865066138
1972-06-21,113.83605553118431
1972-06-22,113.73379356828
1972-06-23,113.31755340130057
1972-06-26,112.50351292532758
1972-06-27,112.4010615364828
1972-06-28,112.04733410851284
1972-06-29,111.85058125118046
1972-06-30,112.19826790333065
1972-07-03,112.5775548120164
1972-07-05,113.22923460417462
1972-07-06,114.2267208934102
1972-07-07,113.87306915455537
1972-07-10,113.27836387935993
1972-07-11,112.46348303392611
1972-07-12,112.02566883483567
1972-07-13,111.39910470224507
1972-07-14,111.95682908631453
1972-07-17,111.00513783345133
1972-07-18,110.96535102420428
1972-07-19,111.30301518730265
1972-07-20,110.96962346761917
1972-07-21,111.87370313349324
1972-07-24,113.20801550829252
1972-07-25,112.88521527798787
1972-07-26,112.82461980026102
1972-07-27,112.57514580972556
1972-07-28,112.69288729271813
1972-07-31,112.7162049690628
1972-08-01,113.78869780383647
1972-08-02,114.7354558883377
1972-08-03,115.64042603859399
1972-08-04,115.95762910553455
1972-08-07,116.15939371868505
1972-08-08,116.25618580138217
1972-08-09,116.44751967942157
1972-08-10,116.65990673028602
1972-08-11,117.61819708995178
1972-08-14,118.26151937371195
1972-08-15,117.75965553744001
1972-08-16,117.35226943834998
1972-08-17,117.02885630355819
1972-08-18,117.48319421083576
1972-08-21,117.45406696325055
1972-08-22,118.19240290412264
1972-08-23,118.04768536949052
1972-08-24,116.7567342709641
1972-08-25,116.40149251871648
1972-08-28,115.95151391610585
1972-08-29,116.15361080364342
1972-08-30,116.33470580316332
1972-08-31,116.89460890363067
1972-09-01,117.34962013447254
1972-09-05,117.06806858062657
1972-09-06,116.36545639310992
1972-09-07,116.10477732050948
1972-09-08,115.970368081289
1972-09-11,115.30950715572357
1972-09-12,114.22731160113544
1972-09-13,114.69289675515712
1972-09-14,114.73730485567395
1972-09-15,114.62372299997374
1972-09-18,114.42584602056591
1972-09-19,114.37541942653857
1972-09-20,114.44087596884783
1972-09-21,114.27452011123957
1972-09-22,114.38213417628215
1972-09-25,113.89953084792667
1972-09-26,113.98604504432248
1972-09-27,115.62233316659409
1972-09-28,116.36276110516026
1972-09-29,116.58666365916105
1972-10-02,116.18846791115939
1972-10-03,116.34918380468508
1972-10-04,116.14073284586075
1972-10-05,114.88783171796308
1972-10-06,115.67095375665696
1972-10-09,115.97940522376375
1972-10-10,116.08741154259455
1972-10-11,115.5832938566749
1972-10-12,114.64627966292414
1972-10-13,113.94130229759332
1972-10-16,112.73994001481825
1972-10-17,113.52342842838478
1972-10-18,114.26484865553122
1972-10-19,114.12982727934843
1972-10-20,115.39960523254595
1972-10-23,116.58516079887707
1972-10-24,117.08425111009643
1972-10-25,117.00231476601634
1972-10-26,117.30077770207944
1972-10-27,116.92292510522387
1972-10-30,116.90434660226029
1972-10-31,117.96401390625711
1972-11-01,119.12909016844173
1972-11-02,119.73404081113765
1972-11-03,120.7938120352889
1972-11-06,120.55302254525648
1972-11-08,119.89968166779454
1972-11-09,120.07127551701629
1972-11-10,120.3275386180554
1972-11-13,120.52036940010417
1972-11-14,121.64438688325724
1972-11-15,121.18129616400239
1972-11-16,121.86111793941129
1972-11-17,122.25530237543705
1972-11-20,122.31082525000217
1972-11-21,123.04392168092026
1972-11-22,123.78776461599399
1972-11-24,124.19290382749828
1972-11-27,123.6238276285986
1972-11-28,123.37236673750404
1972-11-29,123.43862419617001
1972-11-30,123.61083868631616
1972-12-01,124.37622657167735
1972-12-04,124.80270270590184
1972-12-05,124.61463912287778
1972-12-06,125.08362258568526
1972-12-07,125.72229057699036
1972-12-08,126.0112813472898
1972-12-11,126.30033211800712
1972-12-12,125.82604136079729
1972-12-13,125.73338150285869
1972-12-14,125.40739635757599
1972-12-15,125.44195444893515
1972-12-18,124.01270563288193
1972-12-19,123.4318201366579
1972-12-20,123.03117830846543
1972-12-21,122.15297098399246
1972-12-22,122.93002025729038
1972-12-26,123.44190875100325
1972-12-27,124.12372583395238
1972-12-29,125.32583763938008
1973-01-02,126.45380715930771
1973-01-03,126.96620706754115
1973-01-04,126.79912612508662
1973-01-05,127.31166803134498
1973-01-08,127.30389117481803
1973-01-09,127.18990162049545
1973-01-10,126.88466299806102
1973-01-11,127.75864366073492
1973-01-12,126.77338726320069
1973-01-15,125.87292545512504
1973-01-16,125.56741224080925
1973-01-17,126.15464755556256
1973-01-18,126.3486993616892
1973-01-19,126.28765054218448
1973-01-22,125.69498420444378
1973-01-23,125.7189179319183
1973-01-24,124.1477074994338
1973-01-26,123.86304241651833
1973-01-29,123.40814259089748
1973-01-30,123.22971970200277
1973-01-31,123.45553075638027
1973-02-01,122.11782884180141
1973-02-02,121.69496106044085
1973-02-05,121.58063512684829
1973-02-06,121.82814935133551
1973-02-07,121.00061961275716
1973-02-08,120.48162804323738
1973-02-09,122.11321415658429
1973-02-12,123.59608141484571
1973-02-13,124.37641994367588
1973-02-14,122.60080880452328
1973-02-15,121.92192444426938
1973-02-16,122.49993428961712
1973-02-20,122.96086643876937
1973-02-21,122.21786498902388
1973-02-22,121.9648900602749
1973-02-23,120.61413266039096
1973-02-26,119.59349300306376
1973-02-27,118.23150984690967
1973-02-28,119.0760697485658
1973-03-01,118.41767710504443
1973-03-02,119.74253042120884
1973-03-05,120.18251859607575
1973-03-06,121.71051417435167
1973-03-07,122.09747904832996
1973-03-08,121.8764502821727
1973-03-09,121.42063443117192
1973-03-12,121.5089171482223
1973-03-13,122.18416939869033
1973-03-14,122.73149229240883
1973-03-15,121.82724952811509
1973-03-16,121.22171092456247
1973-03-19,119.7725853527151
1973-03-20,119.55107750421477
1973-03-21,118.00532839594437
1973-03-22,116.256303431215
1973-03-23,116.3120409380192
1973-03-26,117.35058582012996
1973-03-27,119.20132991981077
1973-03-28,119.27878572258604
1973-03-29,120.4569211412673
1973-03-30,119.19860705476606
1973-04-02,117.78001216865964
1973-04-03,116.78867317758893
1973-04-04,116.29958346872891
1973-04-05,116.04561060344068
1973-04-06,116.87162138272366
1973-04-09,118.57478401889463
1973-04-10,120.03232351622529
1973-04-11,120.54885050810907
1973-04-12,120.45568929178306
1973-04-13,119.93452094108764
1973-04-16,119.26342074556341
1973-04-17,118.74199240560247
1973-04-18,119.3977998599975
1973-04-19,120.0858678708509
1973-04-23,119.45729476025025
1973-04-24,117.77929213646611
1973-04-25,116.02594345444506
1973-04-26,116.62826726077262
1973-04-27,114.86367463897234
1973-04-30,114.59833175533133
1973-05-01,114.75118838804372
1973-05-02,116.18981216437739
1973-05-03,118.12169243363779
1973-05-04,118.97161616827447
1973-05-07,118.48196865868896
1973-05-08,119.26781907206117
1973-05-09,118.41358737174183
1973-05-10,117.46264854759559
1973-05-11,116.00748682047887
1973-05-14,113.5867729175063
1973-05-15,114.31887199033083
1973-05-16,114.18224879779324
1973-05-17,113.26241554498925
1973-05-18,111.45180507064126
1973-05-21,110.25242475215654
1973-05-22,111.17773808364075
1973-05-23,111.71686126939302
1973-05-24,115.02568581294564
1973-05-25,115.89821003771327
1973-05-29,115.4502496904072
1973-05-30,113.74577182524563
1973-05-31,112.72822668021658
1973-06-01,111.646378769384
1973-06-04,110.62871619488484
1973-06-05,112.41493017622531
1973-06-06,112.09553364810508
1973-06-07,113.75339644657049
1973-06-08,115.04624191138062
1973-06-11,114.70555093431963
1973-06-12,116.4288362275812
1973-06-13,115.70117036710869
1973-06-14,114.42493291232637
1973-06-15,113.04083195929017
1973-06-18,111.4412819592251
1973-06-19,111.87438716675254
1973-06-20,112.37215084378442
1973-06-21,111.06243056873464
1973-06-22,111.60324981642377
1973-06-25,110.05635200660998
1973-06-26,111.19993697968822
1973-06-27,111.55796694863066
1973-06-28,112.72353730452515
1973-06-29,112.274284177909
1973-07-02,110.82337261995785
1973-07-03,109.72751698111884
1973-07-05,109.64389148166347
1973-07-06,109.11857023407626
1973-07-09,110.05837743917643
1973-07-10,111.55871952433533
1973-07-11,114.02932016028278
1973-07-12,113.71982527740929
1973-07-13,112.21376933051945
1973-07-16,113.93070600387385
1973-07-17,113.9984490048224
1973-07-18,114.69161765538543
1973-07-19,114.92123305422739
1973-07-20,115.5715343985436
1973-07-23,115.99546625277509
1973-07-24,116.67842354273647
1973-07-25,118.31102378950526
1973-07-26,118.55199367361425
1973-07-27,118.28578692706044
1973-07-30,117.93317210512267
1973-07-31,116.8356260652704
1973-08-01,115.34949719797508
1973-08-02,115.191080038189
1973-08-03,115.01102762797319
1973-08-06,115.28454208689848
1973-08-07,115.10445295993507
1973-08-08,114.03848320350087
1973-08-09,114.1174892930148
1973-08-10,113.22401147787662
1973-08-13,112.09256360705531
1973-08-14,111.02567806197632
1973-08-15,111.36377889865835
1973-08-16,110.5992386948283
1973-08-17,110.63461539782185
1973-08-20,109.89142215909108
1973-08-21,109.12640703097027
1973-08-22,108.75058937684204
1973-08-23,110.25696649156767
1973-08-24,109.95692610239925
1973-08-27,110.83622909582442
1973-08-28,111.49931683368888
1973-08-29,112.60631737444551
1973-08-30,112.45795491766394
1973-08-31,112.87249774500853
1973-09-04,113.16787444795891
1973-09-05,113.32254713726854
1973-09-06,113.88879205585728
1973-09-07,113.48037537767203
1973-09-10,112.5085662376455
1973-09-11,111.83986763263803
1973-09-12,111.6802450694424
1973-09-13,112.01906461143915
1973-09-14,113.20330940021563
1973-09-17,112.90288570180475
1973-09-18,112.5048183513201
1973-09-19,114.80625256058322
1973-09-20,115.77455406550806
1973-09-21,116.26592740266955
1973-09-24,116.45374944029957
1973-09-25,117.21650728713466
1973-09-26,118.07708149021967
1973-09-27,118.36283289956319
1973-09-28,117.67206000633607
1973-10-01,117.44736938449861
1973-10-02,118.09091880826529
1973-10-03,118.09417406398224
1973-10-04,117.7066114021626
1973-10-05,119.28415833568286
1973-10-08,119.71105399060276
1973-10-09,119.61675234169806
1973-10-10,118.64266281487913
1973-10-11,120.68816518031845
1973-10-12,121.08283469183972
1973-10-15,119.58702961000134
1973-10-16,119.75345277587435
1973-10-17,119.52866872830951
1973-10-18,119.58643088668275
1973-10-19,119.82900174118241
1973-10-22,118.69091362269994
1973-10-23,119.34660757142953
1973-10-24,119.9263356197931
1973-10-25,120.19081222041395
1973-10-26,121.1623483978793
1973-10-29,120.92663203335366
1973-10-30,118.96099858999172
1973-10-31,117.8435993780981
1973-11-01,117.20599559415635
1973-11-02,116.54645153284788
1973-11-05,114.87442149978042
1973-11-06,114.27972151207081
1973-11-07,115.20917643652082
1973-11-08,116.5526537351378
1973-11-09,114.69461416339776
1973-11-12,113.77280475882337
1973-11-13,113.70045240683625
1973-11-14,111.63428824087718
1973-11-15,111.6270192856859
1973-11-16,113.22172841577448
1973-11-19,109.78138512028994
1973-11-20,107.56101703729985
1973-11-21,108.77424685262716
1973-11-23,108.43948051860848
1973-11-26,105.33475008136206
1973-11-27,104.38867577659974
1973-11-28,106.52930069917547
1973-11-29,106.17223653556425
1973-11-30,104.71310055008523
1973-12-03,102.48001632094568
1973-12-04,102.15618709057583
1973-12-05,100.60976527001453
1973-12-06,103.09120682269746
1973-12-07,105.38773843368969
1973-12-10,106.97510894590431
1973-12-11,104.90426437004945
1973-12-12,102.22113334040736
1973-12-13,100.9355734288208
1973-12-14,101.94413893518298
1973-12-17,101.36847083197365
1973-12-18,103.5577273782432
1973-12-19,103.65983008425717
1973-12-20,103.37933165120006
